downloads,distro_name,distro_version,distro_id
327,Oracle Linux Server,7.6,n/a
327,Linux Mint,18.1,serena
326,Ubuntu Core,18,
319,macOS,10.9.5,
318,Scientific,6.6,Carbon
313,Freedesktop.org,18.08.34,Flatpak runtime
311,Scientific Linux,7.4,Nitrogen
310,Ubuntu,19.10,eoan
300,OS X,10.14.5,
288,debian,8.11,
283,Gentoo,2019080201,
282,debian,buster/sid,
277,Scientific,6.10,Carbon
276,VMware Photon,1.0,
266,Red Hat Enterprise Linux,8.1,Ootpa
261,Alpine Linux,3.8.0,
254,Fedora,27,Workstation Edition
253,macOS,10.12.3,
249,void,rolling,void
242,Amazon Linux,2,n/a
239,CentOS,6.3,Final
234,LMDE,3,cindy
227,Alpine Linux,3.7.0,
226,Fedora,28,Cloud Edition
226,Fedora,27,Cloud Edition
217,Fedora,23,Twenty Three
215,macOS,10.12,
209,Red Hat Enterprise Linux Workstation,7.3,Maipo
206,CentOS,6.4,Final
204,Linux Mint,18,xenial
198,Ubuntu,15.04,vivid
196,Debian GNU/Linux,stable-updates,sid
196,Fedora,26,Workstation Edition
190,macOS,10.11.5,
189,Linux Mint,19.2,tina
188,RedHatEnterpriseServer,6.7,Santiago
185,Alpine Linux,3.8.1,
179,Red Hat Enterprise Linux Workstation,7.4,Maipo
178,Kali GNU/Linux,2019.2,
178,Slackware,14.2,
176,Ubuntu,16.10,yakkety
174,Exherbo,,
174,SLES,12.4,n/a
174,Arch Linux,2019.1.20,ArchLabs
168,Linux Mint,18,Sarah
168,Oracle Linux Server,7.4,
167,SLES,12.2,n/a
165,macOS,10.12.2,
161,Kali GNU/Linux,2018.4,kali-rolling
160,DGX OS,18.04,Bionic Beaver
159,debian,8.6,
159,Ubuntu,15.10,Wily Werewolf
158,Fedora,30,Server Edition
156,ScientificCERNSLC,6.9,Carbon
156,Fedora,30,Cloud Edition
151,Pengwin,10,buster
147,RedHatEnterpriseServer,6.5,Santiago
147,debian,8.5,
145,Ubuntu Kylin,16.04,xenial
141,Ubuntu,17.04,zesty
140,Gentoo,2019073101,
139,LinuxMint,18.2,sonya
137,RedHatEnterpriseServer,6.8,Santiago
136,Debian GNU/Linux,oldstable-updates,sid
134,Oracle Linux Server,7.5,
133,Debian GNU/Linux,testing/unstable,n/a
130,Anarchy Linux,,
130,Devuan GNU/Linux,2.0,ascii
